日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600519,1472.44,1436.44,1472.93,1428.44,50029,7490883773.0,3.02,-2.44,-36.0,0.4
2025-01-03,600519,1442.94,1423.44,1443.43,1415.45,32628,4836610288.0,1.95,-0.91,-13.0,0.26
2025-01-06,600519,1401.44,1388.44,1411.1,1381.24,44255,6392479712.0,2.1,-2.46,-35.0,0.35
2025-01-07,600519,1393.1,1388.64,1400.33,1387.44,24221,3494634227.0,0.93,0.01,0.2,0.19
2025-01-08,600519,1388.44,1390.94,1400.26,1375.1,35258,5071821246.0,1.81,0.17,2.3,0.28
2025-01-09,600519,1397.43,1392.44,1413.02,1381.42,29706,4295852736.0,2.27,0.11,1.5,0.24
2025-01-10,600519,1395.54,1384.44,1400.39,1384.44,21872,3154677598.0,1.15,-0.57,-8.0,0.17
2025-01-13,600519,1373.44,1392.42,1392.88,1370.45,21083,3030806870.0,1.62,0.58,7.98,0.17
2025-01-14,600519,1393.39,1420.94,1427.12,1390.44,30957,4535651504.0,2.63,2.05,28.52,0.25
2025-01-15,600519,1415.44,1419.71,1423.04,1408.45,18399,2701518712.0,1.03,-0.09,-1.23,0.15
2025-01-16,600519,1422.44,1394.82,1431.1,1390.44,26342,3840411437.0,2.86,-1.75,-24.89,0.21
2025-01-17,600519,1394.83,1403.19,1409.44,1394.82,18309,2663227309.0,1.05,0.6,8.37,0.15
2025-01-20,600519,1409.44,1423.24,1438.23,1408.44,31410,4647626351.0,2.12,1.43,20.05,0.25
2025-01-21,600519,1429.44,1416.59,1430.44,1413.44,16856,2481821229.0,1.19,-0.47,-6.65,0.13
2025-01-22,600519,1411.71,1389.44,1416.39,1386.44,28294,4088101682.0,2.11,-1.92,-27.15,0.23
2025-01-23,600519,1398.41,1391.44,1416.44,1386.44,27125,3932700850.0,2.16,0.14,2.0,0.22
2025-01-24,600519,1390.44,1384.44,1396.23,1378.75,31360,4515322685.0,1.26,-0.5,-7.0,0.25
2025-01-27,600519,1385.44,1383.43,1392.41,1375.46,29356,4213534543.0,1.22,-0.07,-1.01,0.23
